Time,Source,Destination,Protocol,Length
2024-11-15 09:33:15.204189,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.221868,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.273449,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.283793,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.283793,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.285163,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.347129,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.347129,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.348536,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.360187,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.361378,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.361528,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.362435,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.416525,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.417702,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.427758,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.427758,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.428566,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.456248,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.457460,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.492513,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.505028,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.506053,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.510161,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.553309,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.572133,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.601302,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.602176,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.647097,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.648435,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.649152,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.697015,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.741985,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.744526,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.744526,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.745754,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.763651,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.763651,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.764407,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.799826,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.799826,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.801076,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:15.884933,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.894320,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.895468,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:15.929748,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.930597,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:15.968609,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.970248,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:15.986297,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:15.987173,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:16.039882,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.039882,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.040818,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:16.074346,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:16.074346,146.75.122.172,192.168.1.34,6,1466
